[Header]
Application Name	LabSolutions
Version	5.111
Data File Name	C:\LabSolutions\Data\Rachel\SampleProject\SampleDataFile_Experiment.lcd
Output Date	11/2/2023
Output Time	5:52:08 AM

[File Information]
Type	Data File
Generated	11/1/2023 4:28:37 PM
Generated by	System Administrator
Modified	11/1/2023 4:46:54 PM
Modified by	System Administrator

[Sample Information]
Operator Name	System Administrator
Acquired	11/1/2023 4:28:54 PM
Sample Type	0:Unknown
Level	1
Sample Name	SampleDataFile
Sample ID	Experiment
ISTD Amount1	1
ISTD Amount2	1
ISTD Amount3	1
ISTD Amount4	1
ISTD Amount5	1
ISTD Amount6	1
ISTD Amount7	1
ISTD Amount8	1
ISTD Amount9	1
ISTD Amount10	1
ISTD Amount11	1
ISTD Amount12	1
ISTD Amount13	1
ISTD Amount14	1
ISTD Amount15	1
ISTD Amount16	1
ISTD Amount17	1
ISTD Amount18	1
ISTD Amount19	1
ISTD Amount20	1
ISTD Amount21	1
ISTD Amount22	1
ISTD Amount23	1
ISTD Amount24	1
ISTD Amount25	1
ISTD Amount26	1
ISTD Amount27	1
ISTD Amount28	1
ISTD Amount29	1
ISTD Amount30	1
ISTD Amount31	1
ISTD Amount32	1
Sample Amount	1
Dilution Factor	1
Vial#	49
Injection Volume	20

[Original Files]
Data File	C:\LabSolutions\Data\Rachel\SampleProject\SampleDataFile_Experiment.lcd
Method File	C:\LabSolutions\Data\Rachel\SampleProject\SampleMethod.lcm
Batch File	C:\LabSolutions\Data\Rachel\SampleProject\SampleBatch.lcb
Report Format File	C:\LabSolutions\System\DEFAULT.lsr

[File Description]


[Configuration]
Instrument Name	HPLC
Instrument #	1
Line #	1
# of Detectors	2
Detector ID	Detector A	Detector B
Detector Name	Detector A	Detector B
# of Channels	2	1

[LC Chromatogram(Detector A-Ch1)]
Interval(msec)	500
# of Points	2161
Start Time(min)	0.000
End Time(min)	18.000
Intensity Units	mAU
Intensity Multiplier	0.001
Wavelength(nm)	210nm
R.Time (min)	Intensity
0.00000	14835
0.00833	14835
0.01667	14822
0.02500	14810
0.03333	14799
0.04167	14789
0.05000	14778
0.05833	14764
0.06667	14745
0.07500	14721
0.08333	14698
0.09167	14688
0.10000	14695
0.10833	14713
0.11667	14731
0.12500	14742
0.13333	14740
0.14167	14730
0.15000	14719
0.15833	14708
0.16667	14696
0.17500	14682
0.18333	14667
0.19167	14652
0.20000	14640
0.20833	14628
0.21667	14613
0.22500	14598
0.23333	14586
0.24167	14573
0.25000	14557
0.25833	14539
0.26667	14517
0.27500	14496
0.28333	14476
0.29167	14458
0.30000	14439
0.30833	14421
0.31667	14411
0.32500	14411
0.33333	14411
0.34167	14404
0.35000	14390
0.35833	14372
0.36667	14357
0.37500	14344
0.38333	14332
0.39167	14319
0.40000	14303
0.40833	14286
0.41667	14270
0.42500	14254
0.43333	14237
0.44167	14218
0.45000	14199
0.45833	14184
0.46667	14174
0.47500	14165
0.48333	14154
0.49167	14142
0.50000	14132
0.50833	14125
0.51667	14116
0.52500	14104
0.53333	14092
0.54167	14080
0.55000	14066
0.55833	14051
0.56667	14037
0.57500	14027
0.58333	14023
0.59167	14016
0.60000	14005
0.60833	13993
0.61667	13984
0.62500	13977
0.63333	13972
0.64167	13963
0.65000	13950
0.65833	13937
0.66667	13927
0.67500	13919
0.68333	13911
0.69167	13901
0.70000	13893
0.70833	13888
0.71667	13882
0.72500	13873
0.73333	13863
0.74167	13853
0.75000	13842
0.75833	13830
0.76667	13816
0.77500	13803
0.78333	13793
0.79167	13783
0.80000	13770
0.80833	13756
0.81667	13746
0.82500	13737
0.83333	13728
0.84167	13719
0.85000	13709
0.85833	13696
0.86667	13681
0.87500	13667
0.88333	13658
0.89167	13648
0.90000	13636
0.90833	13624
0.91667	13611
0.92500	13595
0.93333	13582
0.94167	13569
0.95000	13552
0.95833	13533
0.96667	13509
0.97500	13484
0.98333	13460
0.99167	13436
1.00000	13413
1.00833	13393
1.01667	13375
1.02500	13356
1.03333	13337
1.04167	13316
1.05000	13291
1.05833	13267
1.06667	13244
1.07500	13222
1.08333	13200
1.09167	13179
1.10000	13156
1.10833	13131
1.11667	13107
1.12500	13082
1.13333	13057
1.14167	13035
1.15000	13016
1.15833	12997
1.16667	12978
1.17500	12960
1.18333	12937
1.19167	12911
1.20000	12888
1.20833	12870
1.21667	12856
1.22500	12842
1.23333	12832
1.24167	12830
1.25000	12834
1.25833	12831
1.26667	12820
1.27500	12802
1.28333	12780
1.29167	12759
1.30000	12748
1.30833	12756
1.31667	12770
1.32500	12773
1.33333	12762
1.34167	12743
1.35000	12720
1.35833	12698
1.36667	12676
1.37500	12657
1.38333	12645
1.39167	12636
1.40000	12628
1.40833	12621
1.41667	12615
1.42500	12610
1.43333	12609
1.44167	12615
1.45000	12623
1.45833	12629
1.46667	12631
1.47500	12631
1.48333	12631
1.49167	12634
1.50000	12639
1.50833	12642
1.51667	12644
1.52500	12647
1.53333	12651
1.54167	12656
1.55000	12662
1.55833	12668
1.56667	12670
1.57500	12668
1.58333	12665
1.59167	12667
1.60000	12673
1.60833	12682
1.61667	12690
1.62500	12694
1.63333	12696
1.64167	12699
1.65000	12701
1.65833	12699
1.66667	12699
1.67500	12701
1.68333	12701
1.69167	12701
1.70000	12699
1.70833	12693
1.71667	12687
1.72500	12683
1.73333	12678
1.74167	12670
1.75000	12659
1.75833	12650
1.76667	12643
1.77500	12636
1.78333	12631
1.79167	12624
1.80000	12613
1.80833	12599
1.81667	12587
1.82500	12575
1.83333	12561
1.84167	12547
1.85000	12536
1.85833	12521
1.86667	12506
1.87500	12490
1.88333	12476
1.89167	12461
1.90000	12441
1.90833	12420
1.91667	12399
1.92500	12381
1.93333	12363
1.94167	12342
1.95000	12320
1.95833	12299
1.96667	12277
1.97500	12257
1.98333	12235
1.99167	12212
2.00000	12190
2.00833	12170
2.01667	12148
2.02500	12128
2.03333	12110
2.04167	12094
2.05000	12079
2.05833	12065
2.06667	12048
2.07500	12032
2.08333	12017
2.09167	12003
2.10000	11988
2.10833	11972
2.11667	11954
2.12500	11936
2.13333	11920
2.14167	11906
2.15000	11891
2.15833	11874
2.16667	11859
2.17500	11849
2.18333	11839
2.19167	11825
2.20000	11806
2.20833	11787
2.21667	11770
2.22500	11755
2.23333	11744
2.24167	11732
2.25000	11718
2.25833	11702
2.26667	11684
2.27500	11664
2.28333	11647
2.29167	11632
2.30000	11616
2.30833	11603
2.31667	11592
2.32500	11583
2.33333	11573
2.34167	11560
2.35000	11547
2.35833	11536
2.36667	11525
2.37500	11513
2.38333	11503
2.39167	11494
2.40000	11485
2.40833	11477
2.41667	11473
2.42500	11470
2.43333	11466
2.44167	11461
2.45000	11452
2.45833	11443
2.46667	11434
2.47500	11425
2.48333	11416
2.49167	11407
2.50000	11398
2.50833	11393
2.51667	11390
2.52500	11387
2.53333	11385
2.54167	11382
2.55000	11376
2.55833	11368
2.56667	11359
2.57500	11350
2.58333	11344
2.59167	11337
2.60000	11331
2.60833	11325
2.61667	11317
2.62500	11309
2.63333	11304
2.64167	11297
2.65000	11286
2.65833	11272
2.66667	11261
2.67500	11249
2.68333	11232
2.69167	11217
2.70000	11207
2.70833	11201
2.71667	11198
2.72500	11194
2.73333	11187
2.74167	11178
2.75000	11170
2.75833	11163
2.76667	11156
2.77500	11146
2.78333	11137
2.79167	11130
2.80000	11125
2.80833	11117
2.81667	11109
2.82500	11102
2.83333	11093
2.84167	11081
2.85000	11070
2.85833	11061
2.86667	11051
2.87500	11043
2.88333	11033
2.89167	11024
2.90000	11018
2.90833	11017
2.91667	11015
2.92500	11009
2.93333	11000
2.94167	10990
2.95000	10981
2.95833	10974
2.96667	10967
2.97500	10962
2.98333	10962
2.99167	10963
3.00000	10961
3.00833	10955
3.01667	10949
3.02500	10947
3.03333	10947
3.04167	10947
3.05000	10948
3.05833	10946
3.06667	10937
3.07500	10927
3.08333	10922
3.09167	10921
3.10000	10918
3.10833	10917
3.11667	10917
3.12500	10917
3.13333	10914
3.14167	10913
3.15000	10914
3.15833	10915
3.16667	10916
3.17500	10916
3.18333	10915
3.19167	10915
3.20000	10915
3.20833	10914
3.21667	10914
3.22500	10913
3.23333	10911
3.24167	10910
3.25000	10908
3.25833	10906
3.26667	10906
3.27500	10905
3.28333	10900
3.29167	10894
3.30000	10890
3.30833	10890
3.31667	10891
3.32500	10887
3.33333	10878
3.34167	10872
3.35000	10869
3.35833	10865
3.36667	10864
3.37500	10866
3.38333	10866
3.39167	10863
3.40000	10859
3.40833	10853
3.41667	10848
3.42500	10845
3.43333	10844
3.44167	10844
3.45000	10846
3.45833	10848
3.46667	10852
3.47500	10856
3.48333	10860
3.49167	10862
3.50000	10863
3.50833	10861
3.51667	10856
3.52500	10852
3.53333	10849
3.54167	10844
3.55000	10839
3.55833	10836
3.56667	10835
3.57500	10834
3.58333	10832
3.59167	10831
3.60000	10832
3.60833	10832
3.61667	10833
3.62500	10832
3.63333	10832
3.64167	10842
3.65000	10864
3.65833	10889
3.66667	10917
3.67500	10960
3.68333	10997
3.69167	10998
3.70000	10962
3.70833	10916
3.71667	10874
3.72500	10840
3.73333	10822
3.74167	10814
3.75000	10804
3.75833	10788
3.76667	10767
3.77500	10744
3.78333	10729
3.79167	10723
3.80000	10722
3.80833	10724
3.81667	10724
3.82500	10722
3.83333	10720
3.84167	10722
3.85000	10723
3.85833	10718
3.86667	10711
3.87500	10701
3.88333	10690
3.89167	10681
3.90000	10674
3.90833	10671
3.91667	10670
3.92500	10670
3.93333	10676
3.94167	10682
3.95000	10683
3.95833	10678
3.96667	10669
3.97500	10662
3.98333	10659
3.99167	10655
4.00000	10649
4.00833	10642
4.01667	10634
4.02500	10626
4.03333	10618
4.04167	10613
4.05000	10609
4.05833	10610
4.06667	10621
4.07500	10640
4.08333	10657
4.09167	10672
4.10000	10690
4.10833	10714
4.11667	10740
4.12500	10763
4.13333	10790
4.14167	10823
4.15000	10861
4.15833	10903
4.16667	10958
4.17500	11026
4.18333	11102
4.19167	11187
4.20000	11282
4.20833	11390
4.21667	11515
4.22500	11655
4.23333	11807
4.24167	11974
4.25000	12164
4.25833	12386
4.26667	12648
4.27500	12963
4.28333	13343
4.29167	13805
4.30000	14367
4.30833	15050
4.31667	15871
4.32500	16844
4.33333	17982
4.34167	19292
4.35000	20775
4.35833	22426
4.36667	24236
4.37500	26200
4.38333	28305
4.39167	30531
4.40000	32857
4.40833	35268
4.41667	37750
4.42500	40285
4.43333	42856
4.44167	45445
4.45000	48029
4.45833	50586
4.46667	53101
4.47500	55562
4.48333	57962
4.49167	60287
4.50000	62526
4.50833	64671
4.51667	66702
4.52500	68611
4.53333	70392
4.54167	72040
4.55000	73539
4.55833	74875
4.56667	76044
4.57500	77044
4.58333	77866
4.59167	78509
4.60000	78985
4.60833	79311
4.61667	79483
4.62500	79492
4.63333	79347
4.64167	79067
4.65000	78667
4.65833	78163
4.66667	77564
4.67500	76884
4.68333	76135
4.69167	75325
4.70000	74461
4.70833	73549
4.71667	72606
4.72500	71659
4.73333	70719
4.74167	69785
4.75000	68865
4.75833	67973
4.76667	67114
4.77500	66270
4.78333	65431
4.79167	64608
4.80000	63814
4.80833	63053
4.81667	62322
4.82500	61626
4.83333	60980
4.84167	60409
4.85000	59910
4.85833	59424
4.86667	58897
4.87500	58330
4.88333	57756
4.89167	57201
4.90000	56682
4.90833	56212
4.91667	55790
4.92500	55405
4.93333	55052
4.94167	54729
4.95000	54433
4.95833	54165
4.96667	53925
4.97500	53705
4.98333	53511
4.99167	53349
5.00000	53216
5.00833	53109
5.01667	53028
5.02500	52973
5.03333	52944
5.04167	52947
5.05000	52981
5.05833	53038
5.06667	53120
5.07500	53231
5.08333	53369
5.09167	53528
5.10000	53704
5.10833	53898
5.11667	54122
5.12500	54376
5.13333	54648
5.14167	54940
5.15000	55255
5.15833	55593
5.16667	55951
5.17500	56324
5.18333	56708
5.19167	57104
5.20000	57516
5.20833	57947
5.21667	58400
5.22500	58876
5.23333	59373
5.24167	59882
5.25000	60398
5.25833	60927
5.26667	61469
5.27500	62027
5.28333	62606
5.29167	63203
5.30000	63817
5.30833	64443
5.31667	65078
5.32500	65724
5.33333	66380
5.34167	67050
5.35000	67735
5.35833	68433
5.36667	69142
5.37500	69862
5.38333	70594
5.39167	71337
5.40000	72093
5.40833	72864
5.41667	73643
5.42500	74425
5.43333	75213
5.44167	76011
5.45000	76817
5.45833	77634
5.46667	78468
5.47500	79314
5.48333	80174
5.49167	81053
5.50000	81949
5.50833	82864
5.51667	83804
5.52500	84771
5.53333	85764
5.54167	86787
5.55000	87842
5.55833	88928
5.56667	90043
5.57500	91186
5.58333	92357
5.59167	93550
5.60000	94765
5.60833	95998
5.61667	97247
5.62500	98508
5.63333	99775
5.64167	101036
5.65000	102280
5.65833	103502
5.66667	104701
5.67500	105872
5.68333	107009
5.69167	108112
5.70000	109180
5.70833	110217
5.71667	111219
5.72500	112181
5.73333	113099
5.74167	113966
5.75000	114773
5.75833	115515
5.76667	116195
5.77500	116819
5.78333	117414
5.79167	118035
5.80000	118784
5.80833	119802
5.81667	121265
5.82500	123380
5.83333	126346
5.84167	130296
5.85000	135245
5.85833	141057
5.86667	147416
5.87500	153849
5.88333	159794
5.89167	164685
5.90000	168042
5.90833	169560
5.91667	169149
5.92500	166908
5.93333	163100
5.94167	158092
5.95000	152302
5.95833	146132
5.96667	139940
5.97500	134037
5.98333	128675
5.99167	124059
6.00000	120347
6.00833	117667
6.01667	116137
6.02500	115851
6.03333	116876
6.04167	119266
6.05000	123091
6.05833	128426
6.06667	135327
6.07500	143858
6.08333	154078
6.09167	166020
6.10000	179682
6.10833	195019
6.11667	211967
6.12500	230424
6.13333	250217
6.14167	271101
6.15000	292787
6.15833	314951
6.16667	337233
6.17500	359270
6.18333	380707
6.19167	401209
6.20000	420478
6.20833	438263
6.21667	454368
6.22500	468637
6.23333	480947
6.24167	491253
6.25000	499587
6.25833	506005
6.26667	510531
6.27500	512962
6.28333	511998
6.29167	503299
6.30000	479678
6.30833	436783
6.31667	378104
6.32500	312631
6.33333	249117
6.34167	192882
6.35000	145839
6.35833	107802
6.36667	77691
6.37500	54205
6.38333	36120
6.39167	22363
6.40000	12030
6.40833	4387
6.41667	-1120
6.42500	-4860
6.43333	-7034
6.44167	-7719
6.45000	-6923
6.45833	-4677
6.46667	-1169
6.47500	3242
6.48333	8060
6.49167	12723
6.50000	16705
6.50833	19635
6.51667	21339
6.52500	21835
6.53333	21300
6.54167	19995
6.55000	18185
6.55833	16102
6.56667	13928
6.57500	11794
6.58333	9775
6.59167	7912
6.60000	6214
6.60833	4679
6.61667	3307
6.62500	2095
6.63333	1016
6.64167	33
6.65000	-877
6.65833	-1715
6.66667	-2477
6.67500	-3157
6.68333	-3755
6.69167	-4271
6.70000	-4706
6.70833	-5067
6.71667	-5358
6.72500	-5586
6.73333	-5752
6.74167	-5857
6.75000	-5905
6.75833	-5904
6.76667	-5859
6.77500	-5777
6.78333	-5659
6.79167	-5508
6.80000	-5331
6.80833	-5132
6.81667	-4909
6.82500	-4669
6.83333	-4417
6.84167	-4152
6.85000	-3873
6.85833	-3584
6.86667	-3287
6.87500	-2980
6.88333	-2665
6.89167	-2344
6.90000	-2017
6.90833	-1682
6.91667	-1336
6.92500	-976
6.93333	-603
6.94167	-220
6.95000	168
6.95833	558
6.96667	956
6.97500	1367
6.98333	1788
6.99167	2215
7.00000	2649
7.00833	3092
7.01667	3543
7.02500	4000
7.03333	4464
7.04167	4936
7.05000	5418
7.05833	5909
7.06667	6411
7.07500	6923
7.08333	7441
7.09167	7962
7.10000	8490
7.10833	9027
7.11667	9573
7.12500	10130
7.13333	10696
7.14167	11271
7.15000	11852
7.15833	12437
7.16667	13023
7.17500	13613
7.18333	14205
7.19167	14800
7.20000	15401
7.20833	16009
7.21667	16626
7.22500	17254
7.23333	17890
7.24167	18533
7.25000	19182
7.25833	19837
7.26667	20496
7.27500	21160
7.28333	21829
7.29167	22504
7.30000	23185
7.30833	23872
7.31667	24569
7.32500	25272
7.33333	25975
7.34167	26675
7.35000	27374
7.35833	28064
7.36667	28742
7.37500	29410
7.38333	30073
7.39167	30725
